recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
Tuscan Almond Cookies (Ricciarelli),0.0,['almond' 'lemon' 'vanilla'],0,0,/recipes/food/views/tuscan-almond-cookies-ricciarelli
Matcha Affogato With Green Tea Ice Cream,0.0,['almond' 'matcha'],0,0,/recipes/food/views/matcha-affogato-with-green-tea-ice-cream
Campari Affogato With Lemon Sorbet,0.0,['lemon' 'orange'],0,0,/recipes/food/views/campari-affogato-with-lemon-sorbet
All-Purpose Pie Dough,0.0,['apple'],0,0,/recipes/food/views/all-purpose-pie-dough
Double-Layer Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting,2.75,['orange' 'raspberry' 'vanilla'],63,8,/recipes/food/views/double-layer-vanilla-buttermilk-cake-with-raspberries-and-orange-cream-cheese-frosting
Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting,3.0,['orange' 'raspberry' 'vanilla'],67,9,/recipes/food/views/vanilla-buttermilk-cake-with-raspberries-and-orangecream-cheese-frosting
Sweet Corn Ice Cream With Butterscotch,4.0,['caramel' 'vanilla'],100,1,/recipes/food/views/sweet-corn-ice-cream-with-butterscotch
Watermelon Jell-O Shots,0.0,['lime' 'strawberry'],0,0,/recipes/food/views/watermelon-jell-o-shots
Spiced Zucchini Bread,4.0,['cinnamon' 'pecan' 'vanilla' 'zucchini'],100,1,/recipes/food/views/spiced-zucchini-bread
BA's Best Strawberry Shortcake,4.0,['lemon' 'strawberry' 'vanilla'],100,4,/recipes/food/views/bas-best-strawberry-shortcake
Vanilla-Buttermilk Wedding Cake With Raspberries and Orange Cream-Cheese Frosting,4.0,['orange' 'raspberry' 'vanilla'],100,2,/recipes/food/views/vanillabuttermilk-wedding-cake-with-raspberries-and-orangecream-cheese-frosting
Almond-Apricot Food Processor Cake,3.31,['almond' 'apricot' 'vanilla'],81,16,/recipes/food/views/gluten-free-almond-apricot-food-processor-cake
Lemon-Blueberry Poke Cake,2.75,['blueberry' 'lemon' 'vanilla'],50,4,/recipes/food/views/lemon-blueberry-poke-cake
One-Bowl Milk Chocolate Cake with Chocolate-Caramel Frosting,2.94,['caramel' 'chocolate' 'cocoa' 'vanilla'],71,17,/recipes/food/views/one-bowl-milk-chocolate-cake-with-chocolate-caramel-frosting
Strawberry Shortcake with Thyme and Whipped Cream,2.91,['strawberry' 'thyme' 'vanilla'],64,11,/recipes/food/views/strawberry-shortcake-with-thyme-and-whipped-cream
Mixed Berry Crumble With Oats and Almonds,3.0,['almond' 'cinnamon' 'date' 'ginger' 'nutmeg' 'oat' 'vanilla'],100,1,/recipes/food/views/mixed-berry-crumble-with-oats-and-almonds
Pineapple Macadamia Nut Meringue Pies,2.13,['lemon' 'pineapple'],50,4,/recipes/food/views/pineapple-macadamia-nut-meringue-pies-235040
Wild Blueberry Pie with Almond Crumble Topping,3.72,['almond' 'blueberry' 'lemon'],94,74,/recipes/food/views/wild-blueberry-pie-with-almond-crumble-topping-238822
